iter	Passed	Remaining
0	1	137
1	2	124
2	3	117
3	5	120
4	6	118
5	7	118
6	8	117
7	10	116
8	11	113
9	12	110
10	13	108
11	14	107
12	15	106
13	17	105
14	18	103
15	19	100
16	20	98
17	21	96
18	22	94
19	23	93
20	24	90
21	25	89
22	26	87
23	26	85
24	27	83
25	29	82
26	30	81
27	31	80
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	40	71
36	41	70
37	41	68
38	42	67
39	43	65
40	45	64
41	46	63
42	46	62
43	48	61
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	40
62	67	39
63	69	38
64	70	38
65	71	36
66	72	35
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
